Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Other duration (ms)
2022-10-27,26,1433.7748620673983,1133.6466554263077,4.0,4,,,,,,,,0.43985553346824,1.5676224968544008,0.2733246280768663,2155,,,,,,898929,,,
2022-10-28,98,1633.0173889804207,3982.8202864039904,16.0,16,,,,,,,,0.6362030365125362,1.5745821077518023,0.2517058889483062,7000,,,,,,4692616,61270,,
2022-10-29,76,1632.086983828409,4157.843627366922,35.0,35,,,,,,,,0.6087998972800719,1.4038622477790739,0.26389964090180196,6839,,,,,,4814784,,,
2022-10-30,1,1388.2500166893005,25.44746537267376,,,,,,,,,,0.2827496118852376,0.2827496118852376,0.2827496118852376,109,,,,,,,,,
2022-10-31,,1388.2500166893005,,,,,,,,,,,,,,27,,,,,,,,,
2022-11-01,1,1388.2500166893005,25.447465372673758,,,,,,,,,,0.282749618468993,0.282749618468993,0.282749618468993,73,,,,,,,,,
2022-11-02,1,1388.2500166893005,53.78457002540115,,,,,,,,,,0.6367827722300706,0.9482488439669219,0.2544746537267376,119,,,,,,,,,
2022-11-03,33,1477.009779802375,1223.19687581773,4.0,3,,,,,,,,0.38118480584316833,1.6505813089443664,0.25363655133716373,2182,,,,,,1571608,79310,,
2022-11-04,1,1388.2500166893005,38.568673769487546,,,,,,,,,,0.595139550663797,0.9075294936950211,0.28274960763257284,79,,,,,,,,,
2022-11-05,1,1391.0369231778486,66.72890919945564,,,,,,,,,,0.2827234706311778,0.28274960638859603,0.26389964090180196,142,,,,,,55030,,,
2022-11-06,1,1391.3721318648868,49.71796212090797,,,,,,,,,,0.587588684379705,0.8924277666681881,0.2827496020912219,135,,,,,,61649,,,
2022-11-07,,1388.2500166893005,8.48248845755792,,,,,,,,,,0.6209728006997014,0.6209728006997014,0.6209728006997014,53,,,,,,,,,
2022-11-08,1,1388.2500166893005,16.96497691511584,,,,,,,,,,0.42668452694610987,0.42668452694610987,0.42668452694610987,93,,,,,,,,,
2022-11-09,1,1388.2500166893005,48.63293382333207,,,,,,,,,,0.39905879994930965,0.5153679777529836,0.2827496221456357,154,,,,,,,,,
2022-11-10,,1388.2500166893005,,,,,,,,,,,,,,25,,,,,,,,,
2022-11-11,,1388.2500166893005,7.086965554205783,,,,,,,,,,,,,52,,,,,,,,,
2022-11-12,5,1388.2500166893005,173.95649835168464,1.0,1,,,,,,,,0.7777758543108068,1.4108626498599526,0.28274960763257284,363,,,,,,,,,
2022-11-13,2,1395.0589716316745,65.59791073844791,,,,,,,,,,0.27835171523151486,0.42201433002156813,0.2733246280768663,162,,,,,,134449,,,
2022-11-14,,1388.2500166893008,49.763932284339795,,,,,,,,,,0.3829482357936021,0.5004417969060719,0.2544746537267376,246,,,,,,,,,
